section,row,1,2,3,4,5,6

defined variables,name,value,unit,status,origin
defined variables,Extent of reaction,9.204470742932282,kmol/h,solved,"Solved by Linear System (Eqs. 4-6, 9, 11)"
defined variables,A conversion in the reactor,0.6641657320390352,dimensionless,solved,Calculated by X_A_R1 (Eq. 12)
defined variables,A conversion in the global system,0.9962485980585528,dimensionless,solved,Calculated by X_A_Global (Eq. 13)

massComposition,Component / Total,1,2,3,4,5,6
massComposition,A,0.85,0.85,0.2854591277668201,0,0.5229024488157367,0.01
massComposition,W,0.15,0.15,0.2604536489151874,0,0.47709755118426334,0.99
massComposition,E,0,0,0.45408722331799256,1,0,0
massComposition,Total,1,1,1,1,1,1

massFlow,Component / Total,1,2,3,4,5,6
massFlow,A,850,425,428.1886916502301,0,428.1886916502301,3.1886916502301124
massFlow,W,150,75,390.6804733727811,0,390.6804733727811,315.68047337278114
massFlow,E,0,0,681.1308349769888,681.1308349769888,0,0
massFlow,Total,1000,500,1500,681.1308349769888,818.8691650230112,318.86916502301125

molarComposition,Component / Total,1,2,3,4,5,6
molarComposition,A,0.6891891891891891,0.6891891891891891,0.2314533468379622,0,0.3001474756319561,0.003937007874015748
molarComposition,W,0.3108108108108108,0.3108108108108108,0.5396787319864244,0,0.6998525243680439,0.9960629921259843
molarComposition,E,0,0,0.22886792117561347,1,0,0
molarComposition,Total,1,1,1,1,1,1

molarFlow,Component / Total,1,2,3,4,5,6
molarFlow,A,18.47826086956522,9.23913043478261,9.308449818483263,0,9.308449818483263,0.06931938370065462
molarFlow,W,8.333333333333334,4.166666666666667,21.704470742932283,0,21.704470742932283,17.53780407626562
molarFlow,E,0,0,9.204470742932282,9.204470742932282,0,0
molarFlow,Total,26.811594202898554,13.405797101449277,40.21739130434783,9.204470742932282,31.012920561415548,17.607123459966274
